"","state_abbr","favor_dem","month","newcases_per100k_avg"
"612","OH",1,11,1580.84560154932
"613","OK",0,3,9.57020610687574
"614","OK",0,4,75.6502411862606
"615","OK",0,5,94.5005377456372
"616","OK",0,6,117.702637758403
"617","OK",0,7,401.912755372168
"618","OK",0,8,467.662910991211
"619","OK",0,9,779.190620171546
"620","OK",0,10,1002.53069645912
"621","OK",0,11,2224.55420024205
"622","OR",0,3,8.65899262462922
"623","OR",0,4,23.2777761562041
"624","OR",0,5,26.8266687598526
"625","OR",0,6,131.661044932255
"626","OR",0,7,349.336758032773
"627","OR",0,8,266.366259761376
"628","OR",0,9,196.061752424934
"629","OR",0,10,262.369372577498
"630","OR",0,11,674.214969951718
"631","OR",1,3,12.2942603068168
"632","OR",1,4,27.144796176531
"633","OR",1,5,39.5223214069503
"634","OR",1,6,160.42180208917
"635","OR",1,7,170.266986852736
"636","OR",1,8,142.962675019973
"637","OR",1,9,138.929722404929
"638","OR",1,10,196.130747748269
"639","OR",1,11,526.56044725263
"640","PA",0,3,14.1889009069696
"641","PA",0,4,133.354280170862
"642","PA",0,5,76.5783465293494
"643","PA",0,6,58.0006843395183
"644","PA",0,7,112.630871746147
"645","PA",0,8,133.660380704115
"646","PA",0,9,148.517830061347
"647","PA",0,10,374.546948062192
"648","PA",0,11,1309.29110956198
"649","PA",1,3,54.1579948844835
"650","PA",1,4,403.824083111011
"651","PA",1,5,268.307421024316
"652","PA",1,6,131.638450229063
"653","PA",1,7,198.192290978662
"654","PA",1,8,159.169162900157
"655","PA",1,9,285.818849120399
"656","PA",1,10,390.783421698423
"657","PA",1,11,1042.3931692019
"658","RI",1,3,27.9376739675641
"659","RI",1,4,402.998000611174
"660","RI",1,5,290.676688888248
"661","RI",1,6,114.773313823133
"662","RI",1,7,122.850141559449
"663","RI",1,8,143.269246566727
"664","RI",1,9,187.580378740377
"665","RI",1,10,382.403619321543
"666","RI",1,11,1190.06914462898
"667","RI",0,3,18.8688432790398
"668","RI",0,4,359.725367029435
"669","RI",0,5,261.729116451197
"670","RI",0,6,89.4748374844789
"671","RI",0,7,135.125264772478
"672","RI",0,8,147.907384413118
"673","RI",0,9,171.036934239038
"674","RI",0,10,377.985537944635
"675","RI",0,11,1591.06955907774
"676","SC",0,3,17.0050504202402
"677","SC",0,4,85.1330100346113
"678","SC",0,5,110.541436856264
"679","SC",0,6,372.216386572142
"680","SC",0,7,927.875640787017
"681","SC",0,8,625.930412663294
"682","SC",0,9,587.420540532994
"683","SC",0,10,608.281110290789
"684","SC",0,11,779.852397044602
"685","SC",1,3,20.7383947329437
"686","SC",1,4,167.434687070704
"687","SC",1,5,289.984452712957
"688","SC",1,6,473.336747789819
"689","SC",1,7,1235.25997935474
"690","SC",1,8,850.027909665387
"691","SC",1,9,628.331686175901
"692","SC",1,10,479.270661639223
"693","SC",1,11,582.751549642507
"694","SD",0,3,9.48013655375965
"695","SD",0,4,54.9265696645495
"696","SD",0,5,147.045311700534
"697","SD",0,6,175.503320581398
"698","SD",0,7,169.813496580838
"699","SD",0,8,402.948588491835
"700","SD",0,9,1084.75744128053
"701","SD",0,10,2855.48825269443
"702","SD",0,11,3811.11434917575
"703","SD",1,3,7.7870100081437
"704","SD",1,4,18.0725903031805
"705","SD",1,5,283.73457926305
"706","SD",1,6,897.788767282162
"707","SD",1,7,752.288143298208
"708","SD",1,8,595.989736891719
"709","SD",1,9,1222.30772768127
"710","SD",1,10,4106.24573237324
"711","SD",1,11,5462.01251793313
"712","TN",0,3,11.6338033360443
"713","TN",0,4,120.084611731303
"714","TN",0,5,265.725830729946
"715","TN",0,6,203.989808996455
"716","TN",0,7,682.986623007987
"717","TN",0,8,844.71089677053
"718","TN",0,9,835.905099246173
"719","TN",0,10,1186.11309314937
"720","TN",0,11,1731.11876833142
"721","TN",1,3,45.055114710792
"722","TN",1,4,208.071434910088
"723","TN",1,5,224.428350850012
"724","TN",1,6,459.461106729614
"725","TN",1,7,1405.79008863439
"726","TN",1,8,1182.23855539413
"727","TN",1,9,813.160403348772
"728","TN",1,10,1167.15174871425
"729","TN",1,11,1506.8511264275
"730","TX",0,3,6.50697255365327
"731","TX",0,4,65.4169855265419
"732","TX",0,5,114.481439500146
"733","TX",0,6,216.806106438292
"734","TX",0,7,732.009896545578
"735","TX",0,8,493.671082919723
"736","TX",0,9,413.663835279488
